Names	BasekV	Nice Name
18804CHARLEVI	38	
19204COW_CROS	38	
22204DUNMANWA	38	
28804GLENLARA	38	
28814GLENLARA	38	
32204KILBARRY	38	
38004MIDLETON	38	
38804MACROOM	38	
40204MALLOW	38	
51804TRABEG	38	
10204ARDNACRU	38	
10205ARDNACRU	38	
21204DRUMLINE	38	
23604ENNIS	38	
52204TULABRAC	38	
13604BALLYDIN	38	
14604BARRYMOR	38	
14804BUTLERST	38	
17204CAHIR	38	
21404DUNGARVA	38	
21604DOON	38	
22404DALLOW	38	
31004IKERRIN	38	
53004THURLES	38	
53804TIPPERAR	38	
54404WATERFOR	38	
11204ARKLOW	38	
18404CRANE	38	
19004CARLOW	38	
27404GREATIS	38	
32604KILKENNY	38	
34404KILMURRY	38	
50604STRATFOR	38	
55004WEXFORD	38	
33004KNOCKERA	38	
35404LIMERICK	38	
42604NENAGH	38	
43604OUGHTRAG	38	
46804RATHKEAL	38	
52604TRIEN	38	
52804TRALEE	38	
13204BLAKE	38	
32404KILTEEL	38	
42004NEWBRIDG	38	
44804PORTLAOI	38	
53204THORNSBE	38	
11404ATHLONE	38	
13404BINBANE	38	
15704BUNBEG	38	
16604CASTLEBA	38	
17004CATH_FAL	38	
18204CLOON	38	
18304CAMUS	38	
18604CARICKON	38	
22804DALTON	38	
27804GALWAY	38	
27805GALWAY	38	
28204GORTAWEE	38	
35004LANESBOR	38	
35804LETTERKE	38	
40004MULLINGA	38	
40404MOY	38	
47004RICHMOND	38	
49804SLIGO	38	
50004SOMERSET	38	
53404TONROE	38	
53604TRILLICK	38	
28002GOLAGH	22	
31271DUBLINB	21	
42102NORTHQU	20	
42802NANGOR	20	
12702BALTRASN	20	
40602MULLAGHA	20	
47802RATRUSSA	20	
47902MOUNTAIN	20	
29673HUNTSTOW	20	
37602MACE_IBM	20	
44673PBEGG3	20	
47402RINAWADE	20	
10471AGH_G1	20	
13802BARNAHEL	20	
15302BALLYADA	20	
16202COOLROE	20	
12502BOOLTIAG	20	
22302DERRYBRI	20	
12302BALLYWAT	20	
13302BALLYCAD	20	
15402BANOGE	20	
18402CRANE	20	
55002WEXFORD	20	
11302ATHEA	20	
12402BALLYCUM	20	
16502CLAHANE	20	
17702COOMACHE	20	
17703COOMACHE	20	
17802CASTLEFA	20	
19702COOMAGEA	20	
27302GLANLEE	20	
27361GAE_SCOM	20	
51473TARBG3	20	
51474TARBG4	20	
12202ATHY	20	
10602ARIGNA	20	
14002BELLACOR	20	
16302CORDERRY	20	
16351CORDERRY	20	
16354CORDERRY	20	
16361CORDERRY	20	
16362CORDERRY	20	
16364CORDERRY	20	
16365CORDERRY	20	
16366CORDERRY	20	
19302CUNGHILL	20	
19402CUNGHILL	20	
26802GILRA	20	
40761MEENTYCA	20	
49902SORNEHI	20	
49903GLACKMOR	20	
22021DUNS	17.5	
54621WOOD	17.5	
43821OLDSTREE	17.5	
39421MNYPT	17.5	
39471MNYPG1	17	
39473MNYPG3	17	
39472MNYPG2-P	17	
29672HUNT_CT	16	
50276PBEGG6	15.75	
51771TYNAGH	15.75	
45001PLATIN	15	
51772TYNAGH	15	
44671PBEGG1	13.8	
44672PBEGG2	13.8	
27473GISLG3	13.8	
49474WOP_G4	11.5	
50573SEALROC	11.5	
50574SEALROC	11.5	
35074LRP_G4	11.5	
50274PBEGG4	11	
50275PBEGG5	11	
39672MARIG2	11	
10801AHANE	11	
19471CUSHALIN	11	
28201GORTAWEE	11	
33601KILTOY	11	
54801WHITEGAT	10.75	
30821INCH1	10.5	
30822INCH2	10.5	
30823INCH3	10.5	
44623PBEG	10.5	
44624PBEG	10.5	
28421GORMAN	10.5	
35221LOUT	10.5	
35222LOUT	10.5	
35223LOUT	10.5	
35224LOUT	10.5	
35236LOU_AT1	10.5	
35237LOU_AT2	10.5	
35238LOU_AT3	10.5	
37721CAVAN	10.5	
17421CMIN1	10.5	
17422CMIN2	10.5	
20421CORDUFF	10.5	
20422CORDUFF	10.5	
25621FING1	10.5	
25622FING2	10.5	
25623FING3	10.5	
25624FING4	10.5	
29671HUNT_ST	10.5	
38421MAYN	10.5	
38422MAYN	10.5	
38423MAYN	10.5	
38424MAYN	10.5	
42474NWALG4	10.5	
42475NWALG5	10.5	
52070TURL_HIL	10.5	
52071TURLG1	10.5	
52072TURLG2	10.5	
52073TURLG3	10.5	
52074TURLG4	10.5	
10421AGHADA	10.5	
10472AGH_G11	10.5	
10473AGH_G12	10.5	
10474AGH_G14	10.5	
10475AGH_PEAK	10.5	
16021CLASH	10.5	
16873CDRDG3	10.5	
30671INISG1	10.5	
32021KRAH	10.5	
32022KRAH	10.5	
39675MARI_GT	10.5	
47221RAFF	10.5	
47222RAFF	10.5	
10271ARDNG1	10.5	
10272ARDNG2	10.5	
10273ARDNG3	10.5	
10274ARDNG4	10.5	
20021CULLENAG	10.5	
49421SHBG	10.5	
49422SHBG	10.5	
11221ARKL	10.5	
11222ARKL	10.5	
27421GISL	10.5	
27422GISL	10.5	
27471GISLG1	10.5	
27472GISLG2	10.5	
33421KELLIS	10.5	
33422KELLIS	10.5	
36421LODGEWOO	10.5	
44471POLLG1_4	10.5	
32821KLON	10.5	
32822KLON	10.5	
32824KLON	10.5	
51421TARB	10.5	
51422TARB	10.5	
51423TARB	10.5	
51471TARBG1	10.5	
51472TARBG2	10.5	
54921WMD	10.5	
22671DERRYIRO	10.5	
22672DERRYIRO	10.5	
16421CASH	10.5	
16422CASHLA	10.5	
16424CASH	10.5	
17073CATHG3	10.5	
17074CATHG4	10.5	
17671CLIFG1	10.5	
17672CLIFG2	10.5	
25221FLAG1	10.5	
25222FLAG2	10.5	
50421SRANANAG	10.5	
52476TAW_PEAK	10.5	
12001ARTANE	10	
15801CABRA	10	
16901CENTRAL	10	
20201CITYWES	10	
28601GRANGEC	10	
29401HAROLDS	10	
34201KILMORE	10	
37501MISERYH	10	
38601MILLTOWN	10	
38701MILLTOWN	10	
44901PELLETST	10	
45101POTTERY	10	
46501RINGSEND	10	
50301STEVENST	10	
51301TANEY	10	
55201WOLFETO	10	
18701COLLEGE	10	
37601MACE_ESB	10	
46210RYEBROOK	10	
46214RYEBROOK	10	
46224RYEBROOK	10	
10401AGHADA	10	
14401BANDON	10	
15001BRINNY	10	
19601CASTLEVI	10	
29801HARNETTS	10	
32201KILBARRY	10	
36001LIBERTY	10	
38001MIDLETON	10	
39601MARINA	10	
47601RINGASKI	10	
51801TRABEG	10	
23601ENNIS	10	
13601BALLYDIN	10	
34001KILLOTER	10	
13001BALLYBEG	10	
20301CHARLESL	10	
13501BARODA	10	
23001DUNFIRTH	10	
40801MONREAD	10	
27801GALWAY	10	
40001MULLINGA	10	
33201KNOCKUMB	6.6	
39401MONEYPOI	6.6	
43401OLDCOURT	6	
49001SHELTON	6	
39801MUNGRET	6	
33801KINNEGAD	6	
11371ATHEA	1	
12571BOOLTIAG	0.69	
22371DERRYBRI	0.69	
13371BALLYCAD	0.69	
13372KNOCKNAL	0.69	
16571CLAHANE	0.69	
19771COOMAGEA	0.69	
27371GLANLEE	0.69	
27372GLANLEE	0.69	
16371CORDERRY	0.69	
16372CORDERRY	0.69	
16373CORDERRY	0.69	
16374CORDERRY	0.69	
16375CORDERRY	0.69	
16376CORDERRY	0.69	
40771MEENTYCA	0.69	
40772MEENTYCA	0.69	
40773MEENTYCA	0.69	
47871RATRUSSA	0.66	
47872MOUNTAIN	0.66	
39474MONEYPOI	0.66	
17771COOMACHE	0.66	
19371CUNGHILL	0.66	
12371BALLYWAT	0.4	
49971SORNEHI	0.4	
